Titulo,Votos,Rating,Fechas,Year,Uploader,Tamanio,vistas
Marvel vs Capcom Infinite Deluxe Edition,23,4.04,19/09/17,2017,ElAmigos,1 GB,28412
Marvels Guardians of the Galaxy Telltale Complete Season,10,3.7,07/11/17,2017,ElAmigos,5 GB,10711
Mass Effect 2 Ultimate Edition,110,4.65,28/01/10,2010,ElAmigos,11.6 GB,32438
Mass Effect 3 Complete Edition,108,4.57,06/03/12,2012,ElAmigos,22.1 GB,42689
Mass Effect Andromeda Deluxe Edition,63,4.19,23/03/17,2017,ElAmigos,2 GB,33459
Mass Effect Ultimate Edition,75,4.55,28/05/08,2008,ElAmigos,10.19 GB,29727
Masters of Anima,16,3.38,10/04/18,2018,CODEX,607 MB,14080
Medal of Honor,27,4.11,12/10/10,2010,ElAmigos,90 GB,33690
Medal of Honor Airborne,23,4.39,04/09/07,2007,ElAmigos,44 GB,26117
Medal of Honor Allied Assault War Chest,12,4.08,22/01/02,2002,ElAmigos,25 GB,18136
Medal of Honor Pacific Assault,18,4.39,04/11/04,2004,ElAmigos,61 GB,21326
Medal of Honor Warfighter,17,4.35,28/10/12,2012,ElAmigos,16 GB,31151
Mega Man 11,24,4.17,02/10/18,2018,ElAmigos,972 MB,17544
Mega Man Legacy Collection Bundle,13,3.77,08/08/17,2017,ElAmigos,78 GB,40026
Mega Man X Legacy Collection Bundle,18,4.22,25/07/18,2018,ElAmigos,72 GB,12221
Megaton Rainfall,6,3.83,17/11/17,2017,RELOADED,09 GB,12645
Men of War Assault Squad 2 Complete Edition,10,3.6,15/05/14,2014,ElAmigos,35 GB,15837
Metal Gear Rising Revengeance,18,4.17,09/01/14,2014,ElAmigos,4 GB,24371
Metal Gear Solid V Ground Zeroes,15,4.33,18/12/14,2014,ElAmigos,83 GB,20541
Metal Gear Solid V The Phantom Pain,65,4.23,01/09/15,2015,ElAmigos,8 GB,67043
Metro Redux Bundle,57,4.53,26/08/14,2014,ElAmigos,58 GB,12652
Middle Earth Shadow of Mordor GOTY,25,4.2,30/09/14,2014,ElAmigos,3 GB,16745
Middle earth Shadow of War Definitive Edition,55,4.22,10/10/17,2017,ElAmigos,104 GB,2915
Minecraft Story Mode Complete Season 2,23,3.65,11/07/17,2017,ElAmigos,87 GB,9959
Mirrors Edge Catalyst,15,4,09/06/16,2016,ElAmigos,100 GB,22525
Monster Boy and the Cursed Kingdom,16,3.81,25/07/19,2019,ElAmigos,44 GB,37216
Moonlighter,14,4.36,29/05/18,2018,ElAmigos,466 MB,10280
Mordhau,254,4.49,30/04/19,2017,ElAmigos,17 GB,75710
Mothergunship,5,3.2,17/07/18,2018,ElAmigos,26 GB,7731
Moto Racer 4 Deluxe Edition,6,4,03/11/16,2016,ElAmigos,4 GB,9539
Murdered Soul Suspect,19,4.42,05/06/14,2014,ElAmigos,65 GB,4926
Murderous Pursuits,10,3.3,26/04/18,2018,CODEX,11 GB,4941
My Friend Pedro,20,4,20/06/19,2009,ElAmigos,27 GB,35252
MY HERO ONES JUSTICE,24,4,25/10/18,2018,ElAmigos,54 GB,26711
My Memory of Us,9,3.67,09/10/18,2018,ElAmigos,06 GB,6250
Napoleon Total War Imperial Edition,12,4.33,25/02/10,2010,ElAmigos,5 GB,15027
NARUTO SHIPPUDEN Ultimate Ninja STORM 4 Deluxe Edition,51,4.47,04/02/16,2016,ElAmigos,34.4 GB,23859
NARUTO SHIPPUDEN Ultimate Ninja STORM Revolution,24,4,15/09/14,2014,ElAmigos,83 GB,18776
NARUTO SHIPPUDEN Ultimate Ninja STORM Trilogy,19,4.16,26/08/17,2017,ElAmigos,4 GB,22358
Ni no Kuni II Revenant Kingdom 4.00,82,4.43,23/03/18,2018,ElAmigos,19 GB,84715
Ni no Kuni Wrath of the White Witch Remastered,25,4.28,19/09/19,2019,ElAmigos,2 GB,37630
NieR Automata Day One Edition,86,4.47,17/03/17,2017,ElAmigos,5 GB,66926
Nioh Complete Edition,24,4.08,07/11/17,2017,ElAmigos,3 gb,36682
Northgard,23,3.78,07/03/18,2018,ElAmigos,602 MB,39099
Observation,116,4.12,22/05/19,2018,ElAmigos,32 GB,86196
Observer,8,3.75,15/08/17,2017,CODEX,79 GB,12061
One Piece Pirate Warriors 3 Gold Edition,26,3.96,28/08/15,2015,ElAmigos,87 GB,13655
One Piece Unlimited World Red Deluxe Edition,15,3.67,25/08/17,2017,ElAmigos,27 GB,11856
ONE PIECE WORLD SEEKER Deluxe Edition,28,3.93,14/03/19,2019,ElAmigos,1 GB,69902
Onimusha Warlords,9,3.89,15/01/19,2019,ElAmigos,67 GB,36405
Outcast Second Contact,6,3.33,14/11/17,2017,ElAmigos,5 GB,7704
Outer Wilds,73,4.25,30/05/19,2019,ElAmigos,3 gb,80544
Overcooked 2,36,3.97,07/08/18,2019,ElAmigos,95 GB,71862
Party Hard 2,7,4.14,25/10/18,2018,ElAmigos,47 GB,1185
Past Cure,8,3.63,23/02/18,2018,CODEX,8.93 GB,8436
Paw Patrol On A Roll,9,3.44,24/10/18,2018,ElAmigos,485 MB,5797
PAYDAY 2 Ultimate Edition,24,3.79,13/08/13,2013,ElAmigos,1 GB,13278
Phantom Doctrine,20,3.85,14/08/18,2018,ElAmigos,59 GB,14106
Phoenix Point,69,4.09,03/12/19,2019,ElAmigos,12 GB,80343
Pine,18,3.72,10/10/19,2020,ElAmigos,25 GB,19368
PixARK,38,4.03,01/06/19,2019,ElAmigos,3 GB,57702
PLANET ALPHA,13,3.85,04/09/18,2018,ElAmigos,56 GB,12193
Planet Nomads,33,4.45,25/05/17,2013,ElAmigos,16 GB,42551
Portal 2 COMPLETE,23,4.35,19/04/11,2011,ElAmigos,40 GB,9859
Portal Knights,37,4.16,18/05/17,2017,ElAmigos,07 GB,24988
Quantum Break Steam Edition,35,3.97,29/09/16,2016,ElAmigos,2 GB,49826
RAD,10,3.6,19/08/19,2019,ElAmigos,72 GB,22140
Rad Rodgers Radical Edition,6,3,21/02/19,2019,ElAmigos,08 GB,19592
RAGE 2 Deluxe Edition,57,4.23,15/05/19,2019,ElAmigos,8 GB,72657
Rage Complete Edition,20,4.25,04/10/11,2011,ElAmigos,2 GB,50960
Raiders of the Broken Planet,10,3.5,22/09/17,2017,ElAmigos,8 GB,1028
Re-Legion Deluxe Edition,7,3.57,31/01/19,2019,GOG,31 GB,5409
ReCore Definitive Edition,20,3.85,16/09/16,2016,ElAmigos,5 GB,15719
Red Faction Guerrilla Re-Mars-tered + Update 4514,13,4.38,02/07/18,2018,ElAmigos,1 GB,11775
Redout Enhanced Edition,10,3.6,02/09/16,2016,ElAmigos,93 GB,5951
Remember Me,41,3.83,03/06/13,2013,ElAmigos,73 GB,46815
Remnant From the Ashes,43,4.23,20/08/19,2019,ElAmigos,7 GB,79801
Remothered Tormented Fathers HD,15,3.8,30/01/16,2016,PLAZA,43 GB,14731
Republique Remastered Complete Season,14,3.93,26/02/15,2015,ElAmigos,75 GB,35706
Resident Evil 2 2019 Deluxe Edition,110,4.22,25/01/19,2019,ElAmigos,1 GB,3542
Resident Evil 4 Ultimate HD Edition,30,4.4,28/07/14,2014,ElAmigos,77 GB,35357
Resident Evil 5 Gold Edition,30,4.07,15/09/09,2009,ElAmigos,5.49 GB,22299
Resident Evil HD Remaster / Biohazard HD,26,4.04,20/01/15,2015,ElAmigos,48 GB,29200
Resident Evil Operation Raccoon City Complete Pack,19,3.53,18/05/12,2012,ElAmigos,80 GB,19389
Resident Evil Revelations 2 Complete Season,20,3.9,25/02/15,2015,ElAmigos,42 GB,24169
Resident Evil Revelations Complete Pack,14,4.43,20/05/13,2013,ElAmigos,28 GB,19594
Resident Evil Zero HD Remaster,17,4.47,19/01/16,2016,ElAmigos,6.07 GB,24123
Rise of Nations Extended Edition,21,4.1,12/06/14,2014,ElAmigos,2 GB,18177
Rise of the Tomb Raider 20 Year Celebration,38,4.45,09/02/16,2016,ElAmigos,1 GB,56902
Risen Trilogy,8,3.25,13/08/14,2014,ElAmigos,5 GB,8033
Road Rage,5,3,14/11/17,2017,CODEX,2 GB,8067
Road Redemption,8,2.63,04/10/17,2017,ElAmigos,31 GB,10713
RUINER,2,4,26/09/17,2017,GOG,19 GB,8543
Rune II,13,4.08,12/11/19,2019,ElAmigos,8 GB,30040
Runner3,4,4.5,22/05/18,2018,ElAmigos,17 GB,2972
RUSE Deluxe Edition,11,4.09,15/09/10,2010,ElAmigos,03 GB,18138
Rush A Disney Pixar Adventure,14,3.57,31/10/17,2017,ElAmigos,11 GB,8544
S.T.A.L.K.E.R. Trilogy,27,4.41,20/03/07,2007,ElAmigos,57 GB,25285
Sacred 2 Gold Edition,15,4.4,21/12/12,2012,ElAmigos,9 GB,13692
Saints Row 2,36,4.03,28/01/09,2009,ElAmigos,7 GB,11446
Saints Row Gat out of Hell,15,4.2,22/01/15,2015,ElAmigos,59 GB,13493
Saints Row IV Game of the Century Edition,17,4.41,20/08/13,2013,ElAmigos,48 GB,17380
Saints Row The Third The Full Package,19,4.21,17/11/11,2011,ElAmigos,27 GB,13509
Senran Kagura Burst Re:Newal,13,3.92,22/01/19,2019,ElAmigos,10 GB,46097
Shadow of the Tomb Raider Croft Edition,77,4.4,14/09/18,2018,ElAmigos,28 GB,91590
Shadows Awakening,15,4.13,31/08/18,2018,ElAmigos,79 GB,13926
Shenmue I and II,32,3.44,21/08/18,2018,ElAmigos,95 GB,9502
Silent Descent,4,2.5,06/02/18,2018,PLAZA,4 GB,7498
Sinner Sacrifice for Redemption,11,3.55,23/10/18,2018,ElAmigos,51 GB,24523
Sleeping Dogs Definitive Edition,15,4.4,08/10/14,2014,ElAmigos,17 GB,19941
Slime Rancher,129,4.42,14/01/16,2016,ElAmigos,397 MB,15672
Snake Pass,8,3.88,28/03/17,2017,RELOADED,64 GB,8068
Sniper Elite 3 Ultimate Edition,25,4.28,27/06/14,2014,ElAmigos,5 GB,27109
Sniper Elite 4 Deluxe Edition,30,4.03,13/02/17,2017,ElAmigos,9 GB,42317
Sniper Elite V2 Remastered,94,4.41,14/05/19,2019,ElAmigos,84 GB,81900
Sniper Ghost Warrior 3 Season Pass Edition,21,3.76,24/04/17,2017,ElAmigos,6 GB,42898
Soldiers of the Universe,14,2.71,14/09/17,2017,RELOADED,53 GB,15969
Sonic Lost World,14,4.07,02/11/15,2015,ElAmigos,09 GB,10380
Sonic Mania,50,4.32,29/08/17,2017,ElAmigos,224 MB,22013
Sonic the Hedgehog 4 Collection,11,3.27,19/01/12,2012,ElAmigos,323 MB,9009
SOULCALIBUR VI Deluxe Edition,31,4.1,18/10/18,2018,ElAmigos,7 GB,37542
South Park The Fractured but Whole Gold Edition,2,4,18/10/17,2019,ElAmigos,8 GB,18769
SpellForce 2 Anniversary Edition,7,4.14,13/04/17,2017,ElAmigos,7 GB,19605
SpellForce Platinum Edition,7,4.29,03/11/09,2009,ElAmigos,85 GB,13167
Spider Man Shattered Dimensions,31,4.23,26/11/10,2010,ElAmigos,63 GB,19281
Spider Man The Amazing Collection,21,3.95,02/05/14,2014,ElAmigos,1 GB,27351
Spider Man Web of Shadows,45,4.36,21/10/08,2008,ElAmigos,34 GB,29118
Spyro Reignited Trilogy,33,4.21,03/09/19,2019,ElAmigos,2 GB,50229
Star Control Origins,6,3.67,20/09/18,2018,ElAmigos,81 GB,10933
Star Ocean The Last Hope 4K and Full HD Remaster,10,4.1,28/11/17,2017,ElAmigos,8 GB,13018
STAR WARS Battlefront II,34,3.94,17/11/17,2017,ElAmigos,8 GB,84161
StarCraft II The Complete Collection,41,4.49,10/11/15,2015,ElAmigos,5 GB,22505
State of Decay 2,82,4.02,22/05/18,2018,ElAmigos,2 GB,34172
State of Decay YOSE Day One Edition,27,4.33,05/11/13,2013,ElAmigos,61 GB,19701
State of Mind,7,3.71,15/08/18,2018,ElAmigos,13 GB,6767
Steel Division 2 Total Conflict Edition,15,3.73,20/06/19,2018,ElAmigos,6 GB,32532
Steel Rats,111,4.03,07/11/18,2019,ElAmigos,7 GB,160643
Strange Brigade Deluxe Edition,14,3.21,27/08/18,2018,ElAmigos,8 GB,2560
Street Fighter 30th Anniversary Collection,9,4.22,29/05/18,2018,ElAmigos,65 GB,12932
Street Fighter V Champion Edition,24,3.33,16/02/16,2019,ElAmigos,6 GB,28326
Styx Master of Shadows,8,3.63,07/10/14,2014,ElAmigos,5.36 GB,7845
Styx Shards of Darkness,10,4.1,14/03/17,2017,ElAmigos,1 GB,16517
Subnautica,65,3.75,23/01/18,2019,CODEX,53 GB,144122
Super Luckys Tale,8,4.5,07/11/17,2017,CODEX,7 GB,5311
SuperHOT,8,3.75,25/02/16,2017,ElAmigos,928 MB,21131
Supraland,10,3.3,05/04/19,2016,ElAmigos,19 GB,20499
Sword Art Online Fatal Bullet Deluxe Edition,25,4.32,23/02/18,2018,ElAmigos,5 GB,5404
Sword Art Online Hollow Fragment,15,3.4,30/03/18,2018,ElAmigos,10 GB,17065
Sword Art Online Hollow Realization Deluxe Edition,22,4.41,27/10/17,2017,CODEX,30 GB,21049
Syndicate 2012,15,3.93,20/02/12,2012,ElAmigos,74 GB,12347
Tales of Vesperia Definitive Edition + Fix,32,3.81,10/02/18,2018,ElAmigos,3 GB,36994
TEKKEN 7 Ultimate Edition,18,3.11,01/06/17,2013,ElAmigos,9 GB,31644
Terminator Resistance,135,4.14,14/11/19,2020,ElAmigos,31 GB,145068
Tesla vs Lovecraft,16,3.38,26/01/18,2018,DARKSIDERS,391 MB,10993
The Binding of Isaac Afterbirth,29,4.48,30/10/15,2015,ElAmigos,855 MB,20288
The Blackout Club,7,3.29,30/07/19,2019,ElAmigos,7 GB,23695
The Bureau XCOM Declassified Complete,9,4,22/08/13,2013,ElAmigos,18 GB,17195
The Captives Plot of the Demiurge,4,3.75,11/10/18,2018,CODEX,985 MB,5300
The Escapists 2,26,3.73,21/08/17,2017,ElAmigos,1 GB,1425
The Evil Within 2,40,4.28,13/10/17,2017,ElAmigos,2 GB,2766
The Evil Within COMPLETE,19,4.42,13/10/14,2014,ElAmigos,19 GB,34476
The First Templar Special Edition,6,3.17,12/05/11,2011,ElAmigos,92 GB,9834
The Forest,106,4.47,30/04/18,2018,ElAmigos,27 GB,44188
The Hong Kong Massacre,13,3.85,22/01/19,2019,ElAmigos,7 GB,4047
The Karters,4,2.75,07/06/18,2018,ElAmigos,704 MB,3746
The King of Fighters XIV Steam Edition + Update v1.21,34,4.03,15/06/17,2017,ElAmigos,2 GB,28519
The Last Remnant,23,3.96,09/04/09,2009,ElAmigos,89 GB,15489
The Legend of Zelda Breath of the Wild,151,4.34,03/03/17,2017,ElAmigos,15 GB,147441
The Lord of the Rings Conquest,9,4.11,22/01/09,2009,ElAmigos,74 GB,10101
The Lord of the Rings The Return of the King,18,4.11,01/05/04,2004,ElAmigos,99 GB,23365
The Lord of the Rings War in the North,12,4.42,01/11/11,2011,ElAmigos,38 GB,10456
The Outer Worlds,50,3.8,24/10/19,2019,ElAmigos,37 GB,67048
The Swords of Ditto,15,4.4,25/04/18,2018,ElAmigos,513 MB,7205
The Walking Dead A New Frontier Complete Season,23,4.04,20/12/16,2012,ElAmigos,6 GB,27812
The Walking Dead Complete First Season,33,4.03,24/04/12,2012,ElAmigos,14 GB,1718
The Walking Dead Complete Second Season,21,4.14,17/12/14,2014,ElAmigos,82 GB,10197
The Walking Dead Michonne Complete Season,17,4.41,23/02/16,2015,ElAmigos,97 GB,36328
The Walking Dead Survival Instinct,11,3.91,22/03/13,2015,ElAmigos,49 GB,11826
The Walking Dead The Final Season,,,14/08/18,,ElAmigos,7 GB,737
The Walking Dead The Telltale Definitive Series,22,4.09,13/09/19,2019,ElAmigos,9 GB,36919
The Wild Eight,31,4.16,03/10/19,2019,ElAmigos,546 MB,41145
The Witcher 2 Assassins of Kings Enhanced Edition,34,4.12,17/05/11,2011,ElAmigos,14 GB,2288
The Works of Mercy,18,3.89,26/09/18,2018,ElAmigos,61 GB,14028
TheNightfall Halloween Edition,6,3.83,12/01/18,2018,PLAZA,34 GB,10756
Thief Simulator,30,3.83,09/11/18,2018,ElAmigos,1 GB,26530
Thronebreaker The Witcher Tales,22,4.32,23/10/18,2018,ElAmigos,33 GB,14435
Titanfall 2 Deluxe Edition + Update 2.0.7.0,25,4.24,28/10/16,2016,ElAmigos,3 GB,21894
Tom Clancys Rainbow Six Siege Complete Edition,26,4.15,01/12/15,2015,ElAmigos,3 GB,24446
Tom Clancys Ghost Recon Wildlands Gold Edition,41,4.05,07/03/17,2017,ElAmigos,8 GB,58168
Tomb Raider Anniversary,3,3,05/06/07,2007,ElAmigos,32 GB,11612
Tomb Raider Game of the Year Edition,38,4.5,31/01/14,2014,ElAmigos,7 GB,47212
Tomb Raider Legend,6,4,07/04/16,2016,ElAmigos,47 GB,12374
Tomb Raider Underworld,7,3.57,21/11/08,2008,ElAmigos,85 GB,13788
Total War ATTILA Special Edition,12,4,17/02/15,2015,ElAmigos,5 GB,18708
Total War ROME II Emperor Edition,40,4.38,02/09/13,2013,ElAmigos,9 GB,36603
Total War Saga Thrones of Britannia,18,4.33,03/05/18,2018,ElAmigos,89 GB,22721
Transformers Fall of Cybertron,14,4.43,23/08/12,2012,ElAmigos,37 GB,9171
Transformers War for Cybertron,10,3.9,22/06/10,2010,ElAmigos,43 GB,8491
Trine 4 The Nightmare Prince,71,4.17,08/10/19,2015,ElAmigos,5 GB,93745
Trover Saves the Universe,233,4.53,04/06/19,2019,ElAmigos,79 GB,272229
TY the Tasmanian Tiger,2,3.5,13/12/16,2016,ElAmigos,67 GB,5595
TY the Tasmanian Tiger 2,3,4,12/12/17,2017,ElAmigos,25 GB,4324
Tyler Model 005,6,3.83,21/08/18,2018,CODEX,14 GB,3278
Typical Nightmare,11,3.27,21/08/18,2018,PLAZA,99 GB,6908
Underworld Ascendant,13,3.85,15/11/18,2018,ElAmigos,58 GB,34943
Universe at War Earth Assault,5,4.2,25/01/08,2008,ElAmigos,14 GB,9533
Unravel,24,4.04,09/02/16,2016,ElAmigos,42 GB,12343
Unreal Tournament 3 Black Edition,18,4.17,19/11/07,2007,ElAmigos,52 GB,5081
Valiant Hearts The Great War,22,4,25/06/14,2014,ElAmigos,90 GB,11269
Valkyria Chronicles 4,14,4.43,25/09/18,2018,ElAmigos,26 GB,37246
Vampyr,109,4.36,04/06/18,2018,ElAmigos,81 GB,29654
Vanquish Deluxe Edition,8,4.38,25/05/17,2017,ElAmigos,3 GB,10677
Victor Vran Overkill Edition,7,4.14,24/07/15,2015,ElAmigos,7 GB,11452
Warhammer 40000 Dawn of War II Master Collection,11,3.73,18/02/09,2009,ElAmigos,6 GB,14186
Warhammer Chaosbane Deluxe Edition,30,3.33,31/05/19,2019,ElAmigos,92 GB,83303
Warhammer Vermintide 2 + Update v1.0.4.2,14,3.43,08/03/18,2018,VOKSI,6 GB,4396
Warriors Orochi 4,16,4.31,16/10/18,2018,ElAmigos,8 GB,9345
Watch Dogs 2 Deluxe Edition,48,4.08,29/11/16,2016,ElAmigos,7 GB,41685
Watch Dogs COMPLETE EDITION,26,4.27,27/05/14,2014,ElAmigos,22.2 GB,35825
Way of Redemption,5,2.4,07/11/17,2017,POSTMORTEM,682 MB,3042
We Happy Few,36,3.97,10/08/18,2018,ElAmigos,12 GB,3035
Wizard of Legend,21,4.1,17/05/18,2018,ElAmigos,262 MB,23576
Wolfenstein 2009,18,4,21/08/09,2009,ElAmigos,64 GB,22713
Wolfenstein The Old Blood,10,4.3,05/05/15,2015,ElAmigos,1 GB,18935
Wolfenstein Youngblood Deluxe Edition,35,3.17,25/07/19,2019,ElAmigos,5 GB,47092
World War Z,19,3.74,16/04/19,2019,ElAmigos,9 GB,42846
XCOM Enemy Unknown The Complete Edition,22,4.45,11/10/12,2012,ElAmigos,5 GB,15535
Xenoblade Chronicles X,11,3.73,04/12/15,2015,ElAmigos,7 GB,24301
Xenon Racer,12,4,26/03/19,2019,ElAmigos,5 GB,53856
Yakuza Kiwami Deluxe Edition,15,4,19/02/19,2019,ElAmigos,6 GB,32521
Zombie Army Trilogy,22,4.23,06/03/15,2015,ElAmigos,24 GB,17147
